market,window,n_z,crit,flag_pct,n_entries,ratio_vs_nominal,median_episode_m,rho_12,ret_flag_12,ret_norm_12,diff_12,rho_24,ret_flag_24,ret_norm_24,diff_24,diff_24_lo,diff_24_hi,rho_36,ret_flag_36,ret_norm_36,diff_36,dd24_flag,dd24_base
london,84,382,2.03,6.282722513089005,7,2.761620252313236,5.0,0.1686732159810853,7.947859414226991,0.9064046891634873,7.041454725063503,0.12077858952049408,5.053750574589022,0.6365754658214295,4.417175108767593,-0.6925892661027436,9.305825787522506,-0.05395893281224991,-2.3325667415233795,0.6479420928175561,-2.9805088343409354,-5.96729392411515,-10.937788432907759
london,120,346,2.02,5.780346820809249,2,2.540797052947149,10.5,-0.09125999714971027,,,,-0.25905424938640315,,,,,,-0.4257736225646334,,,,,-12.23004642038659
london,240,226,2.01,0.0,0,0.0,,-0.3367859405946656,,,,-0.46896013033403916,,,,,,-0.6076998779671694,,,,,-9.768541651383606
london,360,106,2.01,0.0,0,0.0,,-0.17724235090127516,,,,-0.4436717057933632,,,,,,-0.7077421048027294,,,,,-10.815064948741758
asia,12,430,2.32,6.744186046511628,21,2.964460189450197,2.0,0.11346608043183705,7.136817232387798,1.4980454602428472,5.638771772144951,0.039349604866846244,1.577289819798577,1.8506796572103288,-0.2733898374117518,-3.7921268117962064,3.4387248528358,0.043313240986034104,2.8101872360415174,1.7175598573144317,1.0926273787270857,-10.88137239121356,-15.169059341973847
asia,24,418,2.13,10.526315789473683,18,4.626925159577439,3.0,0.027039578763716696,5.093092084542248,2.5663593813994234,2.526732703142825,-0.025127026177276007,2.458226996840173,2.293969877282391,0.164257119557782,-5.029203969844512,5.32594622701452,0.0009298815092647478,0.310770676146512,2.321780941740662,-2.01101026559415,-10.90518946513016,-14.523485631170585
asia,36,406,2.08,8.12807881773399,11,3.5727611761761757,3.0,-0.054057455709445916,5.814866337279404,2.6084710705293626,3.2063952667500413,-0.09039440689027238,2.8393309944111094,2.2658882761358754,0.573442718275234,-7.489907788714992,7.985524841248476,0.008014944140116711,0.9372823630639219,2.382292966869834,-1.4450106038059123,-10.144409801989749,-14.593191924482468
asia,60,382,2.04,5.7591623036649215,10,2.531485231287133,3.0,-0.03261733892198688,3.339281852367662,3.3725128648899685,-0.033231012522306536,0.03669606838393688,8.645768161559818,2.285425583987817,6.360342577572002,-6.805989011540543,15.760743263024265,0.05115777138333599,0.7592375236040485,2.482398105139142,-1.7231605815350937,-7.578239282201994,-14.216468786658018
asia,84,358,2.03,7.82122905027933,6,3.4378829397977624,4.5,-0.04188111504708075,7.655955868647288,3.1222692392065565,4.533686629440732,0.023852738250807786,7.613291903501452,2.904538953916595,4.708752949584857,-8.864437464964404,13.11056504139763,-0.055326247353450674,-2.2251183187705035,3.450137710868096,-5.6752560296386,-6.5790927453853385,-13.915295061131893
asia,120,322,2.02,8.695652173913043,7,3.822242523129189,3.0,-0.09010284756747831,0.473973028210274,4.248980425632992,-3.7750073974227183,-0.1701364161241605,-7.384557863498538,4.79940047163275,-12.183958335131287,-21.339348866347617,1.777589969494608,-0.36535915945415304,-13.897281446349403,5.518883401118782,-19.416164847468185,-19.653175023257635,-12.95770669146257
asia,240,202,2.01,8.91089108910891,7,3.916852486572981,2.0,-0.27901079050155936,-4.505363157943533,11.384892234619162,-15.890255392562695,-0.39874820332174027,4.60345482183262,10.031029952653975,-5.427575130821356,-9.91667396298691,1.426819998257411,-0.6858130398567597,4.831432895961139,10.44698260949103,-5.615549713529892,-12.45248118106096,-6.8620402381698415
asia,360,82,2.01,15.853658536585366,3,6.9686006976562656,6.0,-0.7399702563205318,,,,-0.6010335599372482,,,,,,-0.7201356768424297,,,,,-5.926448682252236
turkey,12,340,2.32,5.88235294117647,16,2.585634647999157,2.0,0.09285955732873746,12.383942194737418,1.3472268431618464,11.036715351575571,0.013375850679688082,2.6744860480582062,0.848194733276768,1.8262913147814381,-5.004090014328401,7.116654830182548,0.017146481688721075,-0.5035597352727557,1.3646926864641473,-1.868252421736903,-19.149828001402504,-20.10808835880018
turkey,24,328,2.13,8.841463414634147,12,3.886335004462148,3.0,0.03969134992574677,0.7465053144954058,-0.2330912496807615,0.9795965641761673,-0.006034990902023765,0.7913566795882979,0.22838585261542843,0.5629708269728695,-7.998648869157643,8.390690658787262,-0.007714727630013116,-1.637694058759843,1.8318673188607035,-3.4695613776205465,-18.428976439716767,-20.290535335442716
turkey,36,316,2.08,6.329113924050633,6,2.782011963037068,4.5,0.05566979044755209,4.5119620684492245,0.4666682015639196,4.045293866885305,0.06372338030965913,10.328643144889535,1.2079456828855126,9.120697462004022,-8.800076597971028,23.384640536184683,0.0075946668415960115,5.605005609106392,2.9228623990912137,2.6821432100151785,-16.01064191149044,-18.92230349621955
turkey,60,292,2.04,3.4246575342465753,5,1.5053352402734819,2.0,-0.031381777828798835,,,,-0.10968942929976488,,,,,,-0.18875243190661473,,,,,-16.350080494704134
turkey,84,268,2.03,4.104477611940299,3,1.804155519312845,4.0,-0.18693780041199357,,,,-0.32330644461792,,,,,,-0.32604379489091634,,,,,-17.328511892279575
turkey,120,232,2.02,6.0344827586206895,2,2.652504509585343,8.0,-0.3484467184708925,0.7693003846767796,-0.007704679841265339,0.777005064518045,-0.37998538456204356,-10.630947144490635,2.5181550100971566,-13.149102154587792,-19.314492279440856,-7.051300766598984,-0.17868020304568527,-6.973321287561857,2.584329395235736,-9.557650682797593,-21.594228633411856,-17.670208155505044
turkey,240,112,2.01,0.0,0,0.0,,-0.46648664866486644,,,,-0.6615124511288789,,,,,,-0.7388653451811348,,,,,-16.17363679113157
